Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
9fac4585-3ef2-40c6-b118-5fd1cb88e284,1984-01-28,,999-44-3762,S99912258,X4218972X,Mr.,Frank378,Hintz995,,,M,white,irish,M,Northbridge  Massachusetts  US,425 Rohan Gate Apt 90,Lowell,Massachusetts,01850
fe14dd36-780f-4ad2-8eed-0c9fe6c833e8,1999-06-05,,999-13-7082,S99980686,,Ms.,Kaley842,McCullough561,,,,white,italian,F,Boston  Massachusetts  US,453 Heller Stravenue Suite 77,Mashpee,Massachusetts,02649
39e0504c-5ab1-48cf-8ace-4237cecc5c13,1970-03-12,,999-81-7682,S99941483,X42456956X,Mrs.,Evelin941,Wisoky380,,Bins636,M,white,american,F,Revere  Massachusetts  US,1053 Oberbrunner Neck,Dartmouth,Massachusetts,02714
abeb4ccf-05e7-4bc4-97a2-df539a9a8df1,1964-02-03,,999-85-3000,S99953571,X30288959X,Mr.,Earl438,Morissette863,MD,,M,asian,asian_indian,M,Westport  Massachusetts  US,987 Reichert Mall Apt 4,Arlington,Massachusetts,02474
9a4e7195-72c2-4118-92db-7ed7401ec46f,1951-07-19,,999-27-6720,S99977056,X4746893X,Ms.,Sunni15,Kozey370,,,S,white,irish,F,North Adams  Massachusetts  US,483 Stehr Rue Unit 58,Halifax,Massachusetts,02338
368779ee-cd77-46b9-81ae-ca7b398a3845,1979-05-08,,999-29-3930,S99989654,X40260663X,Mrs.,Caridad510,Reyes140,,Esquivel546,M,hispanic,mexican,F,La Paz  Baja California  MX,286 Glover Highlands,North Reading,Massachusetts,01864
07c20616-e148-451f-b601-1617d780fc0b,1970-09-12,,999-13-8504,S99921452,X12541417X,Mrs.,Yoko498,Wisoky380,,Simonis280,M,white,portuguese,F,Faro  Algarve  PT,789 Kassulke Mill,Wilmington,Massachusetts,01887
2983250a-6805-4d89-beed-6063c2cb4db0,1985-01-07,,999-27-4798,S99984612,X86254284X,Mrs.,Alicia629,Villanueva621,,Dueñas839,M,hispanic,puerto_rican,F,Ponce  Puerto Rico  PR,287 Wunsch Glen Suite 52,Lawrence,Massachusetts,01840
72b4995d-bd13-460f-8346-5104203500dd,1976-06-06,,999-21-8225,S99912443,X22789177X,Mr.,Chang901,Murray856,,,M,white,german,M,Danvers  Massachusetts  US,240 Gutmann Overpass Suite 28,East Bridgewater,Massachusetts,02333
d44852b9-400e-4bf0-9f7b-d7f8d75b498f,2002-01-21,,999-87-7749,S99956606,,,Pablo44,Páez758,,,,hispanic,puerto_rican,M,Bayamon  Puerto Rico  PR,884 Abbott Approach Apt 24,Boston,Massachusetts,02108
5336c5e6-bf66-4707-a6e0-c1c2098ec6b6,2003-11-03,,999-38-9711,,,,Ignacio928,Camarillo982,,,,hispanic,puerto_rican,M,Bayamon  Puerto Rico  PR,277 O'Keefe Fork,Leicester,Massachusetts,01524
8f85b4e7-fac8-4f3d-8eb6-b69de14e62e7,1979-07-27,,999-91-6500,S99962547,X27595910X,Ms.,Jone716,Bernhard322,,,S,white,italian,F,Braintree Town  Massachusetts  US,592 Quigley Common Suite 31,Chelsea,Massachusetts,02149
fdc1e61c-7cdb-4de3-bf8b-4c490c2b1531,1957-07-01,,999-38-1687,S99912458,X24618836X,Mr.,Thomas756,Padberg411,,,M,black,west_indian,M,Santiago de los Caballeros  Santiago  DO,191 Parisian Burg,Waltham,Massachusetts,02451
